大师球,大師球,必定能捉到野生宝可梦的，性能最好的球。,性能最好的球。必定能捉到野生寶可夢。,必定能捉到野生寶可夢的，性能最好的球。
美丽之羽,美麗之羽,仅仅只是漂亮，没有任何效果，极其普通的羽毛。,僅僅只是漂亮，沒有任何效果，極其普通的羽毛。,僅僅只是漂亮，沒有任何效果，極其普通的羽毛。
背盖化石,背蓋化石,很久以前栖息在海里的古代宝可梦的化石。好像是后背的一部分。,很久以前棲息在海裡的古代寶可夢的化石。好像是後背的一部分。,很久以前棲息在海裡的古代寶可夢的化石。好像是後背的一部分。
羽毛化石,羽毛化石,据说是鸟宝可梦的祖先，古代宝可梦的化石。好像是翅膀的一部分。,據說是鳥寶可夢祖先的古代寶可夢的化石。好像是翅膀的一部分。,據說是鳥寶可夢的祖先，古代寶可夢的化石。好像是翅膀的一部分。
自由船票,自由船票,用于前往自由庭园岛的特殊船票。可以从飞云市上船。,用於前往自由庭園島的特殊船票。可以從飛雲市上船。,用於前往自由庭園島的特殊船票。可以從飛雲市上船。
释出之玉,釋出之玉,在这块神奇的玉石里，封存着用于产生释出之力的合众之力。,在這塊神奇的玉石裡，封存著用於產生釋出之力的合眾之力。,在這塊神奇的玉石裡，封存著用於產生釋出之力的合眾之力。
梦境球,夢境球,在连入之森中，不知何时出现在包包里的梦中球。能捉到任何宝可梦。,在連入之森中，不知何時出現在包包裡的夢中球。不管哪種寶可夢都能捉到。,在連入之森中，不知何時出現在包包裡的夢中球。能捉到任何寶可夢。
宝可尾草,寶可尾草,能吸引宝可梦注意的道具。在和野生宝可梦的战斗中绝对可以逃走。,能吸引寶可夢注意的道具。在和野生寶可夢的戰鬥中絕對可以逃走。,能吸引寶可夢注意的道具。在和野生寶可夢的戰鬥中絕對可以逃走。
物品箱,物品箱,漂亮精美的箱子。可以存放宝可梦出演音乐剧时用来装扮自己的多种小物件。,漂亮精美的箱子。可以存放多種用來裝扮出演音樂劇的寶可夢的小飾品。,漂亮精美的箱子。可以存放寶可夢出演音樂劇時用來裝扮自己的多種小物件。
龙之骨,龍之骨,据说是能在狂风暴雨的大海上随意翱翔的宝可梦的头骨。,據說是能在狂風暴雨的大海上任意翱翔的寶可夢的頭骨。,據說是能在狂風暴雨的大海上隨意翱翔的寶可夢的頭骨。
芳香蘑菇,芳香蘑菇,能让附近一带芳香四溢的珍稀蘑菇。可以在商店高价出售。,能讓附近一帶充滿馥郁香氣的稀奇蘑菇。可以在商店高價出售。,能讓附近一帶芳香四溢的珍稀蘑菇。可以在商店高價出售。
巨大金珠,巨大金珠,以纯金制成，闪着金光的大珠子。可以在商店高价出售。,閃著金光的純金製大珠子。可以在商店高價出售。,以純金製成，閃著金光的大珠子。可以在商店高價出售。
丸子珍珠,丸子珍珠,散发着美丽银辉且非常大颗的珍珠。可以在商店高价出售。,散發著美麗銀輝的非常大顆的珍珠。可以在商店高價出售。,散發著美麗銀輝且非常大顆的珍珠。可以在商店高價出售。
彗星碎片,彗星碎片,彗星临近时，掉落到地表上的碎片。可以在商店高价出售。,彗星接近時，掉落到地表上的碎片。可以在商店高價出售。,彗星臨近時，掉落到地表上的碎片。可以在商店高價出售。
古代铜币,古代銅幣,约３０００年前的文明使用的铜币。,距今約３０００年前的文明裡使用的銅幣。,約３０００年前的文明使用的銅幣。
古代银币,古代銀幣,约３０００年前的文明使用的银币。,距今約３０００年前的文明裡使用的銀幣。,約３０００年前的文明使用的銀幣。
古代金币,古代金幣,约３０００年前的文明使用的金币。,距今約３０００年前的文明裡使用的金幣。,約３０００年前的文明使用的金幣。
古代之壶,古代之壺,约３０００年前的文明制造的壶。,距今約３０００年前的文明裡製造的壺。,約３０００年前的文明製造的壺。
古代手镯,古代手鐲,约３０００年前的文明制造的手镯。,距今約３０００年前的文明裡製造的手鐲。,約３０００年前的文明製造的手鐲。
古代石像,古代石像,约３０００年前的文明制造的石像。,距今約３０００年前的文明裡製造的石像。,約３０００年前的文明製造的石像。
古代王冠,古代王冠,约３０００年前的文明制造的王冠。,距今約３０００年前的文明裡製造的王冠。,約３０００年前的文明製造的王冠。
飞云冰淇淋,飛雲冰淇淋,飞云市特产的冰淇淋。能治愈１只宝可梦的所有异常状态。,飛雲市特產的冰淇淋。能治癒１隻寶可夢的所有異常狀態。,飛雲市特產的冰淇淋。能治癒１只寶可夢的所有異常狀態。
要害攻击２,要害攻擊２,击中要害的几率会提高。每次使用效果都会提升。离场后，效果便会消失。,擊中要害的機率會提高。每次使用效果都會提升。離場後，效果便會復原。,擊中要害的機率會提高。每次使用效果都會提升。離場後，效果便會消失。
速度强化２,速度強化２,能相对提高战斗中宝可梦的速度。离场后，效果便会消失。,能相對提高戰鬥中寶可夢的速度。離場後，效果便會復原。,能相對提高戰鬥中寶可夢的速度。離場後，效果便會消失。
特攻强化２,特攻強化２,能相对提高战斗中宝可梦的特攻。离场后，效果便会消失。,能相對提高戰鬥中寶可夢的特攻。離場後，效果便會復原。,能相對提高戰鬥中寶可夢的特攻。離場後，效果便會消失。
特防强化２,特防強化２,能相对提高战斗中宝可梦的特防。离场后，效果便会消失。,能相對提高戰鬥中寶可夢的特防。離場後，效果便會復原。,能相對提高戰鬥中寶可夢的特防。離場後，效果便會消失。
防御强化２,防禦強化２,能相对提高战斗中宝可梦的防御。离场后，效果便会消失。,能相對提高戰鬥中寶可夢的防禦。離場後，效果便會復原。,能相對提高戰鬥中寶可夢的防禦。離場後，效果便會消失。
力量强化２,力量強化２,能相对提高战斗中宝可梦的攻击。离场后，效果便会消失。,能相對提高戰鬥中寶可夢的攻擊。離場後，效果便會復原。,能相對提高戰鬥中寶可夢的攻擊。離場後，效果便會消失。
命中强化２,命中強化２,能相对提高战斗中宝可梦的命中。离场后，效果便会消失。,能相對提高戰鬥中寶可夢的命中。離場後，效果便會復原。,能相對提高戰鬥中寶可夢的命中。離場後，效果便會消失。
速度强化３,速度強化３,能大量提高战斗中宝可梦的速度。离场后，效果便会消失。,能大幅提高戰鬥中寶可夢的速度。離場後，效果便會復原。,能大量提高戰鬥中寶可夢的速度。離場後，效果便會消失。
特攻强化３,特攻強化３,能大量提高战斗中宝可梦的特攻。离场后，效果便会消失。,能大幅提高戰鬥中寶可夢的特攻。離場後，效果便會復原。,能大量提高戰鬥中寶可夢的特攻。離場後，效果便會消失。
特防强化３,特防強化３,能大量提高战斗中宝可梦的特防。离场后，效果便会消失。,能大幅提高戰鬥中寶可夢的特防。離場後，效果便會復原。,能大量提高戰鬥中寶可夢的特防。離場後，效果便會消失。
防御强化３,防禦強化３,能大量提高战斗中宝可梦的防御。离场后，效果便会消失。,能大幅提高戰鬥中寶可夢的防禦。離場後，效果便會復原。,能大量提高戰鬥中寶可夢的防禦。離場後，效果便會消失。
力量强化３,力量強化３,能大量提高战斗中宝可梦的攻击。离场后，效果便会消失。,能大幅提高戰鬥中寶可夢的攻擊。離場後，效果便會復原。,能大量提高戰鬥中寶可夢的攻擊。離場後，效果便會消失。
命中强化３,命中強化３,能大量提高战斗中宝可梦的命中。离场后，效果便会消失。,能大幅提高戰鬥中寶可夢的命中。離場後，效果便會復原。,能大量提高戰鬥中寶可夢的命中。離場後，效果便會消失。
速度强化６,速度強化６,能极大提高战斗中宝可梦的速度。离场后，效果便会消失。,能極大幅提高戰鬥中寶可夢的速度。離場後，效果便會復原。,能極大提高戰鬥中寶可夢的速度。離場後，效果便會消失。
特攻强化６,特攻強化６,能极大提高战斗中宝可梦的特攻。离场后，效果便会消失。,能極大幅提高戰鬥中寶可夢的特攻。離場後，效果便會復原。,能極大提高戰鬥中寶可夢的特攻。離場後，效果便會消失。
特防强化６,特防強化６,能极大提高战斗中宝可梦的特防。离场后，效果便会消失。,能極大幅提高戰鬥中寶可夢的特防。離場後，效果便會復原。,能極大提高戰鬥中寶可夢的特防。離場後，效果便會消失。
防御强化６,防禦強化６,能极大提高战斗中宝可梦的防御。离场后，效果便会消失。,能極大幅提高戰鬥中寶可夢的防禦。離場後，效果便會復原。,能極大提高戰鬥中寶可夢的防禦。離場後，效果便會消失。
力量强化６,力量強化６,能极大提高战斗中宝可梦的攻击。离场后，效果便会消失。,能極大幅提高戰鬥中寶可夢的攻擊。離場後，效果便會復原。,能極大提高戰鬥中寶可夢的攻擊。離場後，效果便會消失。
命中强化６,命中強化６,能极大提高战斗中宝可梦的命中。离场后，效果便会消失。,能極大幅提高戰鬥中寶可夢的命中。離場後，效果便會復原。,能極大提高戰鬥中寶可夢的命中。離場後，效果便會消失。
特效召唤,特效召喚,使用后，能令我方宝可梦的特性启动。,使用後，能使我方寶可夢的特性發動。,使用後，能令我方寶可夢的特性啟動。
道具击落,道具擊落,使用后，能立刻丢弃我方宝可梦携带的道具。,使用後，我方寶可夢能立刻丟棄攜帶的道具。,使用後，能立刻丟棄我方寶可夢攜帶的道具。
道具召唤,道具召喚,使用后，能立刻使用我方宝可梦携带的道具。,使用後，我方寶可夢能立刻使用攜帶的道具。,使用後，能立刻使用我方寶可夢攜帶的道具。
恢复召唤,恢復召喚,使用后，我方宝可梦的能力变化将消失。,使用後，我方寶可夢的能力變化將復原。,使用後，我方寶可夢的能力變化將消失。
要害攻击３,要害攻擊３,击中要害的几率会大幅提高。每次使用效果都会提升。离场后，效果便会消失。,擊中要害的機率會大大提高。每次使用效果都會提升。離場後，效果便會消失。,擊中要害的機率會大幅提高。每次使用效果都會提升。離場後，效果便會消失。
光明石,光明石,莱希拉姆的肉体毁灭后变成的样子。据说它在等待着英雄的到来。,萊希拉姆的肉體毀滅後變成的樣子。據說它在等待著英雄的到來。,萊希拉姆的肉體毀滅後變成的樣子。據說它在等待著英雄的到來。
黑暗石,黑闇石,捷克罗姆的肉体毁灭后变成的样子。据说它在等待着英雄的到来。,捷克羅姆的肉體毀滅後變成的樣子。據說它在等待著英雄的到來。,捷克羅姆的肉體毀滅後變成的樣子。據說它在等待著英雄的到來。
招式学习器９３,招式學習器９３,让电流覆盖全身撞向对手进行攻击。自己也会受到少许伤害。,讓電流圍繞全身，衝撞對手進行攻擊。自己也會受到少許傷害。,讓電流覆蓋全身撞向對手進行攻擊。自己也會受到少許傷害。
招式学习器９４,招式學習器９４,利用大浪攻击自己周围所有的宝可梦。,使用大浪攻擊自己周圍所有的寶可夢。,利用大浪攻擊自己周圍所有的寶可夢。
